wid_pass0_vec,prf_pass0_vec,prf_pass0_stainless_vec
          800,        0.506,                   0.67
          850,        0.525,                   0.68
         1000,        0.536,                   0.69
         1100,        0.544,                   0.69
         1250,        0.551,                   0.7
         1450,        0.558,                   0.7
         1600,        0.566,                   0.71
         1750,        0.573,                   0.72
         1900,        0.581,                   0.72
         2050,        0.588,                   0.73
         2150,        0.596,                   0.73
         2250,        0.603,                   0.74
